Customer_ID,Age,Gender,Location,Session_Duration,Pages_Visited,Product_Category,Items_in_Cart,Purchase_Completed,Payment_Method,Discount_Applied,Total_Spent,Device_Used,Time_of_Day,Day_of_Week,Referral_Source,Customer_Type,Loyalty_Score,Time_Spent_on_Site,Clicks,Bounce_Rate,Revenue_Generated
1,27,Male,Germany,34.582485553934404,8,Clothing,2,0,Cryptocurrency,0,59.724409642953624,Mobile,Morning,Wednesday,Email,New,32.27267210942481,97.73168692662829,13,31.648396329804818,56.480669398554454
2,31,Female,Canada,22.41974623520968,4,Home,0,0,Debit Card,1,360.38678728917,Tablet,Evening,Friday,Direct,New,52.82575126049903,75.0827061687594,41,88.08329666516767,981.6256834910617
3,66,Male,UK,32.41936097888068,24,Clothing,2,1,Debit Card,1,202.2893903908453,Desktop,Afternoon,Friday,Facebook,New,2.310554644597712,3.132099599813168,3,54.14471959686079,562.2893198601724
4,58,Other,UK,13.397859179727961,27,Books,4,0,PayPal,0,419.44682917068116,Mobile,Morning,Friday,Instagram,New,21.001973786597684,3.4162913749983623,18,14.402191120961039,24.62262335499654
5,50,Male,Canada,39.51969265200353,20,Home,9,0,Debit Card,0,335.41402126525395,Tablet,Evening,Wednesday,Facebook,Returning,93.87930308561675,58.86583941846173,48,8.162310808856631,668.5625858046403
6,40,Male,UK,13.633414915556042,15,Books,4,1,Credit Card,0,264.2215107478749,Mobile,Afternoon,Friday,Direct,New,77.82181962761177,115.03371023614727,35,75.79845476688925,240.46390229093385
7,18,Female,Canada,30.53128504905962,27,Home,1,0,Debit Card,1,8.449244986408967,Tablet,Afternoon,Thursday,Email,Returning,66.35333434381221,31.1417393929582,33,4.6303510538839525,837.2569249146425
8,56,Other,USA,11.66906794751968,5,Beauty,3,0,PayPal,0,344.22067325299076,Tablet,Evening,Saturday,Google,New,80.54678736780777,87.51382607972602,26,55.36965097146959,848.2235536899517
9,23,Other,UK,33.31836347981898,6,Home,0,1,PayPal,1,367.7012838092883,Tablet,Evening,Tuesday,Google,New,94.36920337719405,10.74912081796644,7,98.09573234605043,161.35387012454316
10,40,Other,Canada,51.45300216952562,21,Books,8,0,PayPal,0,308.83179182751775,Tablet,Evening,Tuesday,Direct,New,10.493254591244302,8.966014456202334,33,48.473994496567016,384.5389956252492
11,37,Male,UK,22.094007814733953,12,Home,5,1,Debit Card,0,413.64220047964625,Desktop,Evening,Monday,Instagram,Returning,5.287695363320603,103.8898344960314,27,31.375803239965038,566.3622800173225
12,46,Female,India,5.31293486326601,29,Electronics,5,0,Cryptocurrency,0,342.7088499947623,Tablet,Afternoon,Saturday,Direct,New,12.934401311038913,40.34326942689203,23,37.933668139960716,167.36331208427714
13,48,Male,India,15.165277450321579,11,Books,6,0,Cryptocurrency,1,100.39962111782228,Tablet,Evening,Sunday,Email,Returning,94.56968395727743,20.69408867411845,36,72.61285432765031,584.1959740222244
14,54,Other,India,14.513670895707948,24,Electronics,2,0,Cryptocurrency,0,185.07359657887875,Desktop,Morning,Sunday,Instagram,New,42.58546509713033,25.232645642245096,31,71.11519311922373,172.00374613442327
15,51,Female,India,42.18804091967945,9,Beauty,2,1,Cryptocurrency,0,486.6963837333311,Tablet,Night,Sunday,Direct,New,76.14567588123339,37.29029194474098,34,68.63278550642293,751.7137904740536
16,54,Male,Canada,34.84991810636924,3,Clothing,7,1,PayPal,0,163.08613039990223,Desktop,Night,Tuesday,Facebook,Returning,77.19904234930459,106.10540370930013,21,56.04670436251501,58.54343585843458
17,67,Female,Canada,46.27895297256749,4,Home,1,0,Cryptocurrency,0,160.9712710628009,Mobile,Night,Tuesday,Google,New,60.054172058541,72.68867319629072,39,20.398629340917076,727.9781767735519
18,23,Female,UK,36.78185819354244,15,Books,4,0,Debit Card,1,67.05938884354563,Desktop,Evening,Friday,Google,New,78.51642904786068,1.9980437933990438,33,67.57082169706634,742.9531740378334
